source,sign,target
ACVR1,1,SMAD1
BMPR1B,1,SMAD5
BMPR1B,1,SMAD1
ACVR1,1,SMAD5
BMPR2,1,ACVR1
BMPR2,1,BMPR1B
BMP4,1,BMPR2
BMP4,1,BMPR1B
BMP4,1,ACVR2A
BMP4,1,BMPR1A
BMP4,1,ACVR1
BMPR1A,1,BMPR1B
ACVR2A,1,ACVR1
BMPR2,1,BMPR1A
BMPR1A,1,SMAD1
BMPR1A,1,SMAD5
